latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price
37.77144,-122.4347,Condominium,Private room,1,1,3,130.0
37.72872,-122.4406,Apartment,Entire home/apt,1,1,4,225.0
37.77985,-122.48478,Apartment,Entire home/apt,1,1,3,130.0
37.76197,-122.40365,Apartment,Entire home/apt,1,1,30,170.0
37.75853,-122.42387,Apartment,Entire home/apt,1,1,3,100.0
37.74946,-122.40917,House,Entire home/apt,1,2,3,295.0
37.77166,-122.43826,Apartment,Entire home/apt,1,1,30,220.0
37.77244,-122.43789,Apartment,Entire home/apt,2,2,30,350.0
37.80594,-122.43783,Condominium,Entire home/apt,1,0,2,280.0
37.74312,-122.40647,House,Entire home/apt,2,4,30,275.0
37.75081,-122.44524,Apartment,Entire home/apt,1,1,365,200.0
37.74395,-122.43253,House,Entire home/apt,1,2,3,260.0
37.77144,-122.44433,Apartment,Entire home/apt,1,1,30,90.0
37.75933,-122.40367,House,Private room,2,1,3,135.0
37.76794,-122.43906,Bungalow,Entire home/apt,1,2,5,550.0
37.80299,-122.42447,Apartment,Entire home/apt,1,1,31,126.0
37.75981,-122.42447,Apartment,Entire home/apt,1,3,3,495.0
37.73821,-122.39146,Apartment,Private room,1,1,30,70.0
37.72509,-122.43309,House,Private room,1,1,30,95.0
37.71725,-122.43562,House,Private room,1,1,7,100.0
37.73496,-122.41656,House,Entire home/apt,2,4,4,449.0
37.72988,-122.42673,House,Private room,1,1,30,43.0
37.76132,-122.40421,House,Entire home/apt,3,3,4,650.0
37.79709,-122.41033,Apartment,Private room,1,1,30,140.0
37.77619,-122.48231,Guest suite,Entire home/apt,1,1,1,79.0
37.79817,-122.44169,Condominium,Entire home/apt,1,3,4,1195.0
37.74416,-122.43598,Guest suite,Entire home/apt,1,1,5,129.0
37.7605,-122.42317,Apartment,Entire home/apt,1,2,5,220.0
37.77822,-122.45813,House,Entire home/apt,2,3,3,450.0
37.74521,-122.41938,House,Private room,1,2,4,105.0
37.76149,-122.40874,Apartment,Private room,2,2,4,103.0
37.80043,-122.40543,Apartment,Entire home/apt,1,1,4,200.0
37.74472,-122.43699,House,Private room,1,1,2,95.0
37.73279,-122.43701,House,Private room,1,1,2,68.0
37.7681,-122.43972,Townhouse,Entire home/apt,2,3,4,460.0
37.76186,-122.4037,Apartment,Private room,1,1,3,129.0
37.75363,-122.43138,House,Entire home/apt,2,4,2,1000.0
37.77053,-122.42848,Condominium,Entire home/apt,1,2,3,280.0
37.77558,-122.4406,Apartment,Private room,1,1,2,93.0
37.80172,-122.43501,Apartment,Entire home/apt,1,3,3,139.0
37.80178,-122.43719,House,Entire home/apt,3,4,4,1049.0
37.74555,-122.43384,Apartment,Entire home/apt,1,1,2,99.0
37.77632,-122.48067,Guest suite,Entire home/apt,1,1,1,69.0
37.76157,-122.42186,House,Entire home/apt,1,2,2,400.0
37.75036,-122.42621,House,Private room,1,1,2,105.0
37.79648,-122.4118,Apartment,Entire home/apt,1,2,5,295.0
37.74663,-122.41696,House,Entire home/apt,1,1,3,195.0
37.75731,-122.40954,House,Private room,1,1,30,98.0
37.76613,-122.45252,Apartment,Entire home/apt,1,1,30,121.0
37.77023,-122.42957,Condominium,Private room,1,1,2,95.0
37.79384,-122.42436,Apartment,Private room,0,1,30,63.0
37.75943,-122.40398,House,Private room,2,1,3,125.0
37.77448,-122.43359,Apartment,Entire home/apt,1,1,30,105.0
37.77586,-122.44243,Condominium,Entire home/apt,1,3,30,350.0
37.74366,-122.42993,House,Entire home/apt,2,3,5,975.0
37.78388,-122.41661,Apartment,Entire home/apt,1,2,30,100.0
37.76024,-122.4088,Apartment,Private room,1,1,31,72.0
37.74748,-122.40821,Apartment,Shared room,1,1,30,79.0
37.76668,-122.45095,House,Entire home/apt,2,3,3,375.0
37.79527,-122.40925,Apartment,Entire home/apt,1,3,7,450.0
37.77528,-122.40772,Loft,Entire home/apt,1,1,30,279.0
37.78111,-122.40597,Condominium,Entire home/apt,1,1,30,123.0
37.74656,-122.40655,Apartment,Private room,1,1,30,125.0
37.75566,-122.43454,Condominium,Entire home/apt,1,1,30,201.0
